iter	Passed	Remaining
0	4	470
1	7	366
2	11	376
3	13	330
4	17	340
5	20	320
6	23	306
7	25	297
8	28	287
9	31	280
10	34	278
11	37	275
12	40	272
13	47	289
14	50	283
15	52	277
16	55	269
17	58	264
18	62	267
19	66	264
20	68	258
21	71	251
22	73	246
23	77	243
24	79	238
25	81	233
26	84	227
27	86	222
28	88	217
29	92	215
30	94	210
31	96	205
32	98	200
33	101	197
34	103	193
35	107	190
36	109	186
37	112	183
38	114	179
39	116	175
40	119	172
41	121	167
42	123	164
43	126	160
44	128	157
45	130	153
46	133	150
47	136	147
48	139	144
49	141	141
50	143	137
51	145	134
52	147	130
53	150	128
54	152	124
55	154	121
56	157	118
57	159	115
58	162	112
59	165	110
60	168	107
61	170	104
62	172	101
63	174	98
64	177	95
65	181	93
66	184	90
67	186	87
68	189	84
69	191	81
70	194	79
71	199	77
72	201	74
73	203	71
74	206	68
75	208	65
76	211	63
77	213	60
78	216	57
79	218	54
80	220	51
81	223	48
82	226	46
83	228	43
84	231	40
85	233	38
86	236	35
87	238	32
88	240	29
89	243	27
90	245	24
91	247	21
92	250	18
93	253	16
94	255	13
95	257	10
96	260	8
97	262	5
98	264	2
99	267	0
