iter	Passed	Remaining
0	174	174063
1	178	89264
2	183	60983
3	188	46842
4	192	38272
5	196	32508
6	199	28292
7	202	25054
8	204	22499
9	206	20452
10	208	18749
11	211	17376
12	213	16211
13	215	15206
14	218	14321
15	220	13544
16	222	12848
17	224	12248
18	226	11711
19	228	11220
20	231	10786
21	233	10386
22	235	10014
23	237	9673
24	240	9396
25	243	9116
26	245	8842
27	247	8596
28	250	8377
29	252	8164
30	254	7965
31	257	7782
32	259	7602
33	261	7431
34	263	7273
35	266	7128
36	268	6987
37	270	6859
38	273	6730
39	275	6607
40	277	6488
41	279	6384
42	282	6280
43	285	6194
44	287	6100
45	289	6005
46	291	5918
47	294	5834
48	296	5749
49	302	5752
50	307	5716
51	310	5667
52	313	5607
53	317	5558
54	319	5488
55	322	5435
56	324	5373
57	327	5322
58	330	5270
59	333	5224
60	335	5170
61	338	5117
62	340	5064
63	344	5038
64	348	5008
65	350	4964
66	353	4923
67	356	4881
68	363	4907
69	366	4863
70	368	4827
71	371	4785
72	374	4751
73	377	4723
74	380	4689
75	382	4648
76	384	4612
77	387	4576
78	390	4547
79	392	4514
80	395	4490
81	398	4457
82	399	4411
83	401	4380
84	404	4354
85	408	4340
86	411	4313
87	413	4286
88	416	4261
89	421	4257
90	423	4233
91	426	4208
92	428	4180
93	431	4154
94	433	4126
95	436	4112
96	439	4092
97	442	4069
98	444	4044
99	446	4022
100	449	3999
101	452	3983
102	455	3962
103	457	3940
104	459	3919
105	462	3898
106	464	3879
107	468	3865
108	471	3854
109	474	3835
110	476	3814
111	479	3799
112	482	3784
113	485	3769
114	487	3753
115	490	3737
116	492	3715
117	495	3701
118	498	3689
119	500	3671
120	503	3658
121	506	3641
122	508	3628
123	511	3611
124	514	3599
125	516	3583
126	518	3566
127	521	3551
128	524	3540
129	527	3529
130	529	3514
131	532	3499
132	534	3485
133	537	3471
134	540	3465
135	543	3453
136	545	3439
137	548	3424
138	550	3408
139	552	3393
140	555	3383
141	557	3365
142	559	3352
143	561	3340
144	564	3325
145	566	3311
146	568	3299
147	571	3288
148	573	3277
149	576	3265
150	578	3253
151	581	3242
152	583	3232
153	586	3222
154	588	3210
155	591	3198
156	593	3186
157	595	3174
158	598	3167
159	601	3158
160	604	3152
161	607	3141
162	609	3129
163	611	3117
164	613	3106
165	616	3097
166	619	3088
167	621	3079
168	624	3070
169	626	3059
170	629	3053
171	633	3047
172	635	3037
173	637	3028
174	640	3017
175	642	3007
176	645	2999
177	647	2990
178	649	2980
179	652	2970
180	654	2960
181	656	2950
182	658	2940
183	661	2932
184	663	2922
185	665	2912
186	667	2902
187	670	2893
188	672	2884
189	674	2876
190	677	2868
191	679	2859
192	681	2850
193	683	2840
194	686	2833
195	689	2826
196	692	2822
197	694	2815
198	697	2807
199	699	2799
200	702	2791
201	704	2783
202	707	2775
203	709	2768
204	711	2759
205	713	2751
206	715	2742
207	718	2735
208	721	2729
209	723	2723
210	726	2717
211	729	2711
212	731	2704
